Champion,Image,Query,Name_query,,"{""n"":{""item"":""13.23.1""","rune:""7.23.1""","mastery:""7.23.1""","summoner:""13.23.1""","champion:""13.23.1""","profileicon:""13.23.1""","map:""13.23.1""","language:""13.23.1""","sticker:""13.23.1""}","v:""13.23.1""","l:""pt_BR""","cdn:""https://ddragon.leagueoflegends.com/cdn""","dd:""13.23.1""","lg:""13.23.1""","css:""13.23.1""",profileiconmax:28,store:null}
Aatrox,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Aatrox.png,Aatrox,,13.23.1,,,,,,,,,,,,,,,,
Ahri,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Ahri.png,Ahri,,,,,,,,,,,,,,,,,,
Akali,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Akali.png,Akali,,,,,,,,,,,,,,,,,,
Akshan,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Akshan.png,Akshan,,,,,,,,,,,,,,,,,,
Alistar,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Alistar.png,Alistar,,,,,,,,,,,,,,,,,,
Amumu,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Amumu.png,Amumu,,,,,,,,,,,,,,,,,,
Anivia,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Anivia.png,Anivia,,,,,,,,,,,,,,,,,,
Annie,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Annie.png,Annie,,,,,,,,,,,,,,,,,,
Aphelios,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Aphelios.png,Aphelios,,,,,,,,,,,,,,,,,,
Ashe,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Ashe.png,Ashe,,,,,,,,,,,,,,,,,,
Aurelion Sol,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/AurelionSol.png,AurelionSol,,,,,,,,,,,,,,,,,,
Azir,,https://ddragon.leagueoflegends.com/cdn/13.23.1/img/champion/Azir.png,Azir,,,,,,,,,,,,,,,,,,
